Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,36.9,39.5,76.4,80.8,6.6,0.461,0.32,0.32,0.0,772,0.0078,Yes
FS2,48.8,46.0,94.8,85.9,5.7,0.575,0.5674,0.0,0.5016,894,0.0095,No
FS3,34.5,35.3,69.8,83.7,2.3,0.431,0.3365,0.0,0.3183,752,0.0082,No
FS4,34.5,31.6,66.1,81.2,8.4,0.395,0.3082,0.0,0.2165,713,0.0075,Yes
