Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,33.8,35.7,69.5,80.5,5.3,0.422,0.2827,0.2827,0.0,740,0.0075,Yes
FS2,47.1,47.5,94.6,85.6,0.8,0.589,0.5709,0.0,0.5095,899,0.0095,No
FS3,32.1,36.4,68.5,84.7,11.8,0.401,0.3077,0.0,0.3584,749,0.0084,No
FS4,32.6,32.1,64.7,81.4,1.5,0.401,0.3204,0.0,0.2512,732,0.0078,Yes
