Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,34.5,0.008,78.9,0.3388,389.0,33.7,0.416,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,22.9,0.0078,79.5,0.2704,355.0,64.8,0.359,Yes
