Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,36.2,0.008,78.9,0.3388,389.0,30.4,0.435,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,28.6,0.008,80.0,0.3036,368.0,52.1,0.386,Yes
