Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,33.8,35.0,68.8,80.6,3.4,0.422,0.2877,0.2717,0.0,735,0.0075,Yes
FS2,49.1,48.4,97.5,86.3,1.4,0.605,0.6307,0.545,0.0,925,0.0098,No
FS3,32.9,35.0,67.9,85.4,6.0,0.411,0.3602,0.0,0.3705,773,0.0087,No
FS4,34.8,33.0,67.8,80.8,5.2,0.412,0.3388,0.0,0.2408,742,0.0076,Yes
