Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,20.1,0.008,78.9,0.3388,389.0,61.4,0.33,Yes
S2,32.4,0.0095,83.5,0.4991,431.0,48.0,0.375,No
S3,28.3,0.008,78.7,0.3221,381.0,54.7,0.38,Yes
