Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,27.7,0.0079,79.8,0.2867,361.0,46.7,0.384,Yes
S2,37.1,0.0094,84.0,0.465,418.0,28.6,0.423,Yes
S3,27.7,0.0079,79.8,0.2867,361.0,46.7,0.384,Yes
