Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,30.9,33.1,64.0,80.8,6.6,0.386,0.2877,0.2877,0.0,742,0.0076,Yes
FS2,47.1,47.5,94.6,85.7,0.8,0.589,0.5709,0.0,0.5148,900,0.0095,No
FS3,33.2,34.0,67.2,84.8,2.4,0.415,0.3455,0.341,0.0,758,0.0085,No
FS4,35.1,34.6,69.7,81.8,1.4,0.432,0.3169,0.0,0.2557,732,0.0077,Yes
