Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,40.1,44.3,84.4,80.0,9.5,0.501,0.3583,0.3376,0.0,809,0.0077,Yes
FS2,43.4,43.6,87.0,85.6,0.5,0.542,0.4867,0.0,0.4311,841,0.0091,No
FS3,38.2,37.6,75.8,78.8,1.6,0.47,0.3479,0.0,0.2253,760,0.0074,Yes
FS4,41.8,39.9,81.7,80.6,4.5,0.499,0.3882,0.0,0.2817,788,0.0078,Yes
