Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,29.7,0.0069,75.2,0.2034,337.0,42.8,0.412,Yes
S2,37.1,0.0093,83.8,0.4627,417.0,28.6,0.424,No
S3,26.9,0.0078,79.8,0.2692,353.0,48.2,0.383,Yes
