Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.2,0.01,84.9,0.6001,462.0,25.9,0.467,No
S3,25.4,0.0077,79.1,0.2603,351.0,60.9,0.375,Yes
