Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,27.7,0.0077,78.6,0.271,359.0,46.7,0.386,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,32.9,0.0075,77.5,0.2827,370.0,47.3,0.414,Yes
