Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.3,0.0077,78.6,0.271,359.0,39.8,0.408,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,32.3,0.0082,79.9,0.3542,391.0,50.3,0.398,Yes
