Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,25.1,0.0072,77.5,0.2053,327.0,51.7,0.385,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,33.5,0.0085,81.7,0.3629,387.0,48.4,0.404,No
