Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,41.5,42.9,84.4,80.5,3.3,0.519,0.3805,0.3355,0.0,811,0.0079,Yes
FS2,46.3,40.5,86.8,81.9,12.5,0.506,0.4937,0.0,0.2649,815,0.0082,No
FS3,40.7,44.6,85.3,81.1,8.7,0.509,0.3744,0.0,0.38,820,0.0081,Yes
FS4,40.7,44.6,85.3,81.1,8.7,0.509,0.3744,0.0,0.38,820,0.0081,Yes
