Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.2,0.01,84.9,0.6001,462.0,28.8,0.46,No
S3,37.9,0.0078,77.0,0.3633,413.0,44.0,0.425,Yes
