Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.5,0.0078,78.6,0.2996,373.0,39.5,0.403,Yes
S2,47.7,0.0096,82.7,0.5852,465.0,20.3,0.48,No
S3,28.6,0.0077,78.9,0.2574,350.0,52.1,0.395,Yes
