Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,33.5,35.0,68.5,81.4,4.3,0.419,0.3078,0.3013,0.0,751,0.0078,Yes
FS2,45.3,46.1,91.4,85.9,1.7,0.566,0.5505,0.0,0.4959,886,0.0094,No
FS3,32.6,35.7,68.3,84.4,8.7,0.408,0.3339,0.0,0.3437,757,0.0084,No
FS4,37.5,35.3,72.8,81.3,5.9,0.441,0.3388,0.0,0.2557,745,0.0077,Yes
