Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.3,0.0077,78.6,0.271,359.0,39.8,0.408,Yes
S2,44.1,0.0093,82.4,0.4985,436.0,29.4,0.453,No
S3,28.1,0.0073,76.8,0.2467,354.0,54.9,0.393,Yes
