Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.3,0.0077,78.6,0.271,359.0,39.8,0.408,Yes
S2,42.7,0.0095,83.3,0.5334,444.0,17.8,0.47,No
S3,32.7,0.0085,80.8,0.3983,407.0,37.1,0.392,Yes
