Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,26.4,0.0071,76.3,0.2165,339.0,49.2,0.39,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,Yes
S3,24.1,0.0079,79.8,0.2824,359.0,53.6,0.364,Yes
