Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,23.8,0.0076,78.6,0.2437,344.0,54.2,0.369,Yes
S2,32.4,0.0094,83.3,0.4916,430.0,48.0,0.376,No
S3,38.0,0.0081,78.9,0.3645,403.0,39.1,0.427,Yes
