Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,29.7,0.0073,77.5,0.2299,341.0,42.9,0.407,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,Yes
S3,24.8,0.0079,79.8,0.2867,361.0,52.3,0.367,Yes
