Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,25.8,0.0078,78.6,0.2996,373.0,50.4,0.37,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,34.6,0.008,79.3,0.3081,371.0,46.8,0.42,Yes
