Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.8,0.0098,83.2,0.5972,467.0,25.0,0.472,No
S3,24.8,0.0079,79.6,0.2867,361.0,61.8,0.367,Yes
