Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,37.9,37.7,75.6,81.6,0.5,0.471,0.3388,0.3082,0.0,763,0.008,Yes
FS2,45.9,47.5,93.4,85.8,3.4,0.574,0.5395,0.5095,0.0,890,0.0094,No
FS3,32.6,34.7,67.3,84.3,6.1,0.408,0.3339,0.0,0.3419,756,0.0084,No
FS4,33.8,31.3,65.1,80.8,7.4,0.391,0.3082,0.0,0.2165,713,0.0075,Yes
