Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,46.7,0.01,83.9,0.6155,469.0,10.1,0.496,Yes
S3,42.2,0.0082,78.7,0.3971,417.0,35.1,0.444,Yes
