Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,43.1,42.5,85.6,85.5,1.4,0.531,0.472,0.4161,0.0,834,0.009,No
FS2,48.4,47.4,95.8,84.6,2.1,0.593,0.5904,0.0,0.4964,913,0.0093,No
FS3,31.3,37.1,68.4,83.4,15.6,0.391,0.2947,0.0,0.3572,749,0.0083,No
FS4,32.9,32.7,65.6,81.6,0.6,0.409,0.3257,0.0,0.2482,732,0.0078,Yes
