Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,16.8,0.0078,78.6,0.2996,373.0,67.7,0.317,Yes
S2,18.6,0.0099,84.0,0.5942,461.0,64.3,0.289,Yes
S3,32.9,0.008,79.8,0.3169,376.0,36.7,0.408,Yes
