Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,37.8,0.0076,76.6,0.33,398.0,27.4,0.452,Yes
S2,48.1,0.01,84.9,0.6001,462.0,26.1,0.466,No
S3,42.2,0.0082,78.7,0.3971,417.0,35.1,0.444,Yes
