Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.1,0.01,84.9,0.6001,462.0,19.6,0.483,No
S3,42.6,0.0082,78.9,0.3995,417.0,28.8,0.463,Yes
