Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,35.1,0.0077,77.8,0.2911,372.0,32.4,0.432,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,34.2,0.0079,78.9,0.2953,367.0,42.8,0.42,Yes
