Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,32.9,34.7,67.6,81.0,5.2,0.411,0.2877,0.2962,0.0,743,0.0077,Yes
FS2,46.7,47.1,93.8,84.7,0.8,0.584,0.5674,0.0,0.5097,908,0.0093,No
FS3,30.4,33.0,63.4,81.8,7.9,0.38,0.2629,0.0,0.2741,712,0.0077,Yes
FS4,36.9,36.4,73.3,81.6,1.4,0.455,0.3581,0.0,0.2744,761,0.0079,Yes
