Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,37.3,0.0081,79.2,0.3427,389.0,28.2,0.447,Yes
S2,45.8,0.0093,81.4,0.5497,461.0,26.7,0.459,No
S3,24.6,0.0076,78.0,0.2766,365.0,60.6,0.367,Yes
