Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,30.0,0.0077,78.6,0.271,359.0,42.3,0.4,Yes
S2,43.0,0.0097,84.3,0.5375,442.0,17.3,0.472,No
S3,24.6,0.008,79.8,0.3047,370.0,52.8,0.362,Yes
