Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.2,0.01,84.9,0.6001,462.0,22.8,0.475,No
S3,24.5,0.0075,78.6,0.2331,338.0,60.7,0.376,Yes
