Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,30.5,0.0072,76.3,0.2408,353.0,41.3,0.409,Yes
S2,42.5,0.0096,83.8,0.5296,441.0,18.3,0.468,No
S3,33.8,0.008,79.8,0.3169,376.0,35.0,0.414,Yes
