Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,32.7,0.0078,79.5,0.2788,360.0,37.1,0.415,Yes
S2,46.8,0.0092,81.4,0.5255,453.0,21.7,0.481,No
S3,24.9,0.0077,78.3,0.2962,372.0,58.3,0.365,Yes
