Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,35.1,37.2,72.3,80.5,5.6,0.439,0.2827,0.2827,0.0,740,0.0075,Yes
FS2,48.0,46.4,94.4,84.7,3.3,0.58,0.5585,0.0,0.4782,895,0.0092,No
FS3,33.8,36.4,70.2,84.8,7.1,0.422,0.3339,0.0,0.3528,758,0.0085,No
FS4,33.3,32.7,66.0,81.1,1.8,0.409,0.271,0.0,0.2299,700,0.0075,Yes
