Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,47.7,0.0095,82.7,0.5594,457.0,26.6,0.469,No
S3,37.7,0.0078,76.9,0.3624,413.0,41.9,0.424,Yes
