Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,28.9,0.0079,78.9,0.3082,374.0,44.4,0.387,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,32.6,0.0076,77.6,0.2766,365.0,47.8,0.414,Yes
