Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,32.1,0.0077,77.5,0.3108,385.0,38.4,0.403,Yes
S2,43.2,0.0093,81.8,0.5148,442.0,33.5,0.435,No
S3,35.7,0.0089,81.6,0.4528,424.0,45.1,0.4,No
