Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,40.1,44.3,84.4,80.0,9.5,0.501,0.3583,0.3376,0.0,809,0.0077,Yes
FS2,55.6,44.3,99.9,88.1,20.3,0.554,0.8893,0.5242,0.8893,973,0.0107,No
FS3,38.2,40.9,79.1,79.2,6.6,0.478,0.3479,0.3174,0.0,806,0.0076,Yes
FS4,41.8,39.9,81.7,80.6,4.5,0.499,0.3882,0.0,0.2817,788,0.0078,Yes
