Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,30.4,0.0076,78.4,0.2437,344.0,41.5,0.409,Yes
S2,48.1,0.01,84.9,0.6001,462.0,23.0,0.474,No
S3,25.3,0.0079,78.6,0.3185,380.0,61.1,0.364,Yes
