Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,32.9,0.008,79.2,0.3117,375.0,36.7,0.409,Yes
S2,45.6,0.0097,83.5,0.5767,459.0,29.8,0.447,No
S3,24.8,0.0077,78.7,0.2741,359.0,61.8,0.369,Yes
