Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,40.7,0.0079,77.8,0.3501,401.0,21.7,0.481,Yes
S2,48.2,0.01,84.9,0.6001,462.0,22.8,0.475,No
S3,29.4,0.0078,78.6,0.2996,373.0,52.9,0.391,Yes
