Plan,CellA_uph,CellB_uph,Total_uph,Noise_dB,CellBalance_Loss%,AGV_Util,H1_Fatigue,H2_Fatigue,H3_Fatigue,Energy_kWh,DefectRate,Feasible
FS1,41.5,42.9,84.4,80.5,3.3,0.519,0.3805,0.3355,0.0,811,0.0079,Yes
FS2,53.1,51.8,104.9,87.0,2.4,0.647,0.9098,0.0,0.7185,1053,0.0109,No
FS3,40.7,44.6,85.3,81.1,8.7,0.509,0.3744,0.0,0.38,820,0.0081,Yes
FS4,40.7,44.6,85.3,81.1,8.7,0.509,0.3744,0.0,0.38,820,0.0081,Yes
