Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.1,0.008,78.6,0.3604,402.0,40.2,0.389,Yes
S2,41.5,0.0096,83.5,0.5243,440.0,20.2,0.459,No
S3,33.2,0.0082,80.6,0.3183,373.0,36.2,0.41,No
