Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,31.3,0.0077,78.6,0.271,359.0,39.8,0.408,Yes
S2,45.0,0.0095,82.4,0.5537,456.0,30.7,0.445,No
S3,34.5,0.0081,79.3,0.3427,389.0,47.0,0.412,Yes
