shift,phase,label,kpi,n,mean,sd,ci95_half,min,max,median,cv_pct
2,5,S3 (shift 2),defect_rate,3,0.0078000000000000005,0.00010000000000000026,0.00024843382083229666,0.0077,0.0079,0.0078,1.2820512820512853
2,5,S3 (shift 2),deadline_gap_pct,3,50.93333333333334,12.522113772575832,31.1091656941773,36.5,58.9,57.4,24.58530190950752
2,6,S4 (shift 2),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
2,6,S4 (shift 2),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
2,6,S4 (shift 2),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
2,6,S4 (shift 2),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
2,6,S4 (shift 2),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
2,6,S4 (shift 2),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
2,6,S4 (shift 2),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
3,1,S1 (shift 3),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
3,1,S1 (shift 3),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
3,1,S1 (shift 3),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
3,1,S1 (shift 3),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
3,1,S1 (shift 3),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
3,1,S1 (shift 3),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
3,1,S1 (shift 3),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
3,3,S2 (shift 3),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
3,3,S2 (shift 3),vr_score,3,0.467,0.0,0.0,0.467,0.467,0.467,0.0
3,3,S2 (shift 3),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
3,3,S2 (shift 3),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
3,3,S2 (shift 3),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
3,3,S2 (shift 3),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
3,3,S2 (shift 3),deadline_gap_pct,3,25.899999999999995,0.0,0.0,25.9,25.9,25.9,0.0
3,5,S3 (shift 3),throughput_uph,3,39.13333333333333,2.655811238272279,6.597933333333335,37.6,42.2,37.6,6.78657045555097
3,5,S3 (shift 3),vr_score,3,0.43,0.012124355652982153,0.03012100000000003,0.423,0.444,0.423,2.81961759371678
3,5,S3 (shift 3),fatigue_index,3,0.37326666666666664,0.020641786098429905,0.05128117789235913,0.3611,0.3971,0.3616,5.530037354464165
3,5,S3 (shift 3),noise_db,3,77.5,1.0392304845413247,2.581799999999996,76.9,78.7,76.9,1.3409425606984835
3,5,S3 (shift 3),energy_kwh,3,414.3333333333333,2.309401076758503,5.737333333333333,413.0,417.0,413.0,0.5573775728298881
3,5,S3 (shift 3),defect_rate,3,0.007933333333333334,0.0002309401076758509,0.0005737333333333349,0.0078,0.0082,0.0078,2.911009760619969
3,5,S3 (shift 3),deadline_gap_pct,3,39.800000000000004,4.070626487409524,10.11281291448296,35.1,42.2,42.1,10.227704742234984
3,6,S4 (shift 3),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
3,6,S4 (shift 3),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
3,6,S4 (shift 3),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
3,6,S4 (shift 3),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
3,6,S4 (shift 3),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
3,6,S4 (shift 3),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
3,6,S4 (shift 3),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
4,1,S1 (shift 4),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
4,1,S1 (shift 4),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
4,1,S1 (shift 4),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
4,1,S1 (shift 4),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
4,1,S1 (shift 4),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
4,1,S1 (shift 4),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
4,1,S1 (shift 4),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
4,3,S2 (shift 4),throughput_uph,3,48.20000000000001,0.0,0.0,48.2,48.2,48.2,0.0
4,3,S2 (shift 4),vr_score,3,0.4749999999999999,0.0,0.0,0.475,0.475,0.475,0.0
4,3,S2 (shift 4),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
4,3,S2 (shift 4),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
4,3,S2 (shift 4),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
4,3,S2 (shift 4),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
4,3,S2 (shift 4),deadline_gap_pct,3,22.8,0.0,0.0,22.8,22.8,22.8,0.0
4,5,S3 (shift 4),throughput_uph,3,26.066666666666666,1.2220201853215564,3.0359114377362464,25.0,27.4,25.8,4.688056976936918
4,5,S3 (shift 4),vr_score,3,0.37833333333333335,0.006027713773341713,0.01497487963594738,0.372,0.384,0.379,1.5932283101343734
4,5,S3 (shift 4),fatigue_index,3,0.26653333333333334,0.02922230882961395,0.07259809836082333,0.2331,0.2872,0.2793,10.963847734972717
4,5,S3 (shift 4),noise_db,3,78.96666666666665,0.4725815626252636,1.174052432578912,78.6,79.5,78.8,0.5984570231641161
4,5,S3 (shift 4),energy_kwh,3,353.6666666666667,14.011899704655802,34.81029780746561,338.0,365.0,358.0,3.9618943556990955
4,5,S3 (shift 4),defect_rate,3,0.0077333333333333325,0.00020816659994661368,0.0005171562379440525,0.0075,0.0079,0.0078,2.6918094820682805
4,5,S3 (shift 4),deadline_gap_pct,3,58.199999999999996,1.9974984355438177,4.9624616844868426,56.0,59.9,58.7,3.432127896123398
4,6,S4 (shift 4),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
4,6,S4 (shift 4),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
4,6,S4 (shift 4),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
4,6,S4 (shift 4),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
4,6,S4 (shift 4),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
4,6,S4 (shift 4),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
4,6,S4 (shift 4),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
5,1,S1 (shift 5),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
5,1,S1 (shift 5),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
5,1,S1 (shift 5),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
5,1,S1 (shift 5),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
5,1,S1 (shift 5),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
5,1,S1 (shift 5),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
5,1,S1 (shift 5),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
5,3,S2 (shift 5),throughput_uph,3,48.166666666666664,0.0577350269189634,0.14343333333333538,48.1,48.2,48.2,0.11986510779023543
5,3,S2 (shift 5),vr_score,3,0.4693333333333333,0.0040414518843273515,0.01004033333333326,0.467,0.474,0.467,0.8611048048992938
5,3,S2 (shift 5),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
5,3,S2 (shift 5),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
5,3,S2 (shift 5),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
5,3,S2 (shift 5),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
5,3,S2 (shift 5),deadline_gap_pct,3,24.933333333333334,1.6743157806499138,4.159566666666665,23.0,25.9,25.9,6.715170243248317
5,5,S3 (shift 5),throughput_uph,3,29.333333333333332,7.516204716034106,18.67279455762075,24.6,38.0,25.4,25.623425168298088
5,5,S3 (shift 5),vr_score,3,0.39066666666666666,0.029771350881902102,0.07396210450929883,0.372,0.425,0.375,7.620652956118286
5,5,S3 (shift 5),fatigue_index,3,0.2927,0.062100563604527786,0.15427880292111856,0.2535,0.3643,0.2603,21.216454938342256
5,5,S3 (shift 5),noise_db,3,78.43333333333334,1.2423096769056143,3.086317396905969,77.0,79.2,79.1,1.5839052404236476
5,5,S3 (shift 5),energy_kwh,3,370.0,37.322915213043046,92.7227443097611,346.0,413.0,351.0,10.087274381903526
5,5,S3 (shift 5),defect_rate,3,0.0077333333333333325,5.7735026918962226e-05,0.00014343333333333247,0.0077,0.0078,0.0077,0.7465736239520978
5,5,S3 (shift 5),deadline_gap_pct,3,54.833333333333336,11.562583333033036,28.72536756117221,41.5,62.1,60.9,21.086778114953862
5,6,S4 (shift 5),throughput_uph,3,25.100000000000005,0.0,0.0,25.1,25.1,25.1,0.0
5,6,S4 (shift 5),vr_score,3,0.35799999999999993,0.0,0.0,0.358,0.358,0.358,0.0
5,6,S4 (shift 5),fatigue_index,3,0.3225,0.0,0.0,0.3225,0.3225,0.3225,0.0
5,6,S4 (shift 5),noise_db,3,76.1,0.0,0.0,76.1,76.1,76.1,0.0
5,6,S4 (shift 5),energy_kwh,3,409.0,0.0,0.0,409.0,409.0,409.0,0.0
5,6,S4 (shift 5),defect_rate,3,0.0073,0.0,0.0,0.0073,0.0073,0.0073,0.0
5,6,S4 (shift 5),deadline_gap_pct,3,51.79999999999999,0.0,0.0,51.8,51.8,51.8,0.0
6,1,S1 (shift 6),throughput_uph,3,40.7,0.0,0.0,40.7,40.7,40.7,0.0
6,1,S1 (shift 6),vr_score,3,0.48100000000000004,0.0,0.0,0.481,0.481,0.481,0.0
6,1,S1 (shift 6),fatigue_index,3,0.3501,0.0,0.0,0.3501,0.3501,0.3501,0.0
6,1,S1 (shift 6),noise_db,3,77.8,0.0,0.0,77.8,77.8,77.8,0.0
6,1,S1 (shift 6),energy_kwh,3,401.0,0.0,0.0,401.0,401.0,401.0,0.0
6,1,S1 (shift 6),defect_rate,3,0.0079,0.0,0.0,0.0079,0.0079,0.0079,0.0
6,1,S1 (shift 6),deadline_gap_pct,3,21.7,0.0,0.0,21.7,21.7,21.7,0.0
6,3,S2 (shift 6),throughput_uph,3,48.166666666666664,0.0577350269189634,0.14343333333333538,48.1,48.2,48.2,0.11986510779023543
6,3,S2 (shift 6),vr_score,3,0.46466666666666673,0.008082903768654736,0.020080666666666604,0.46,0.474,0.46,1.7395058325655812
6,3,S2 (shift 6),fatigue_index,3,0.6001,0.0,0.0,0.6001,0.6001,0.6001,0.0
6,3,S2 (shift 6),noise_db,3,84.9,0.0,0.0,84.9,84.9,84.9,0.0
6,3,S2 (shift 6),energy_kwh,3,462.0,0.0,0.0,462.0,462.0,462.0,0.0
6,3,S2 (shift 6),defect_rate,3,0.01,0.0,0.0,0.01,0.01,0.01,0.0
6,3,S2 (shift 6),deadline_gap_pct,3,26.866666666666664,3.34863156129983,8.319133333333335,23.0,28.8,28.8,12.463889185979518
6,5,S3 (shift 6),throughput_uph,3,35.96666666666667,3.3486315612998276,8.31913333333333,32.1,37.9,37.9,9.310375054587102
6,5,S3 (shift 6),vr_score,3,0.4206666666666667,0.007505553499465142,0.01864633333333335,0.412,0.425,0.425,1.7842044768934568
6,5,S3 (shift 6),fatigue_index,3,0.3336333333333334,0.0515574760178709,0.12808620759589134,0.2741,0.3635,0.3633,15.453334804037631
6,5,S3 (shift 6),noise_db,3,77.56666666666666,0.9814954576223655,2.438366666666671,77.0,78.7,77.0,1.2653572723966895
6,5,S3 (shift 6),energy_kwh,3,395.0,31.176914536239792,77.454,359.0,413.0,413.0,7.892889756010074
6,5,S3 (shift 6),defect_rate,3,0.007766666666666667,5.7735026918962226e-05,0.00014343333333333247,0.0077,0.0078,0.0078,0.7433694453085264
