Plan,Throughput(u/h),DefectRate,Noise(dB),FatigueIndex,Energy(kWh),DeadlineGap(%),V/R,Feasible
S1,32.7,0.0077,78.6,0.271,359.0,37.1,0.416,Yes
S2,45.6,0.0097,82.9,0.5912,466.0,23.8,0.459,No
S3,23.2,0.0077,78.9,0.2741,359.0,61.2,0.36,Yes
